

BADANIE;00:08:17
metoda:;nearest-neighbour
konfiguracja:;branches=2         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;blad bezwzgledny;blad wzgledny;sciezka
10;0;193;45;30.4054;9 10 6 7 17 12 16 11 19 13 3 15 1 8 4 2 5 18 0 14 9
11;0;189;41;27.7027;19 13 3 15 1 12 16 11 7 9 10 6 2 5 8 4 17 14 0 18 19
12;0;245;97;65.5405;6 7 9 10 17 12 16 11 18 19 13 3 15 1 8 4 2 5 0 14 6
13;0;207;59;39.8649;9 10 6 7 17 12 16 11 18 19 13 3 15 1 8 4 2 5 0 14 9
14;0;225;77;52.027;2 5 9 10 6 7 17 12 16 11 19 13 3 15 1 8 4 0 18 14 2
15;0;208;60;40.5405;10 6 7 9 14 19 13 3 15 1 12 16 11 17 2 5 8 4 0 18 10
sredni czas [ms];blad bezwzgledny;blad bezwzgledny x2;blad wzgledny [%]
0;58.2667;116.533;78.7387


BADANIE;00:09:22
metoda:;nearest-neighbour
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6.txt
wynik optymalny:;132
liczba wierzcholkow:;6
