BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
11;346;148;8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8
12;226;148;16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16
13;302;148;14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14
14;90;148;17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17
15;299;148;10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10
sredni czas [ms]
259


BADANIE;09:00:46
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr20s.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

BADANIE;09:02:59
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr20s.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr20s.txt
wynik optymalny:;330
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;sciezka
1;89042;330;15 16 7 2 18 5 6 12 4 8 17 10 1 13 14 3 9 0 19 11 15
sredni czas [ms]
89042


BADANIE;09:05:54
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr20s.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr20s.txt
wynik optymalny:;330
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;sciezka
1;51012;330;12 6 5 18 2 7 16 15 11 19 0 9 3 14 13 1 10 17 8 4 12
sredni czas [ms]
51012


BADANIE;13:38:08
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr9.txt,g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr9.txt
wynik optymalny:;193
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;sciezka
1;6;193;5 6 4 3 0 1 2 7 8 5
sredni czas [ms]
6


plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;6;209;2 0 1 9 4 5 3 6 7 8 2
sredni czas [ms]
6


BADANIE;14:36:01
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;7;209;1 9 4 5 3 6 7 8 2 0 1
sredni czas [ms]
7


BADANIE;14:36:35
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=1            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;11925;209;7 8 2 0 1 9 4 5 3 6 7
sredni czas [ms]
11925


BADANIE;14:38:22
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;11;209;3 6 7 8 2 0 1 9 4 5 3
sredni czas [ms]
11


BADANIE;14:38:46
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr16.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr16.txt
wynik optymalny:;328
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;sciezka
1;214;328;8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7 8
sredni czas [ms]
214


BADANIE;14:39:02
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr16.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr16.txt
wynik optymalny:;328
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;sciezka
1;499;328;5 10 0 1 2 14 7 8 13 11 15 12 6 4 3 9 5
sredni czas [ms]
499


BADANIE;23:04:07
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr16.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr16.txt
wynik optymalny:;328
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;sciezka
1;706;328;7 8 13 11 15 12 6 4 3 9 5 10 0 1 2 14 7
sredni czas [ms]
706


BADANIE;01:12:57
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr16.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr16.txt
wynik optymalny:;328
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;sciezka
1;775;328;15 12 6 4 3 9 5 10 0 1 2 14 7 8 13 11 15
sredni czas [ms]
775
