BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
10;139;141;4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4
11;142;141;1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1
12;143;141;1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5 8 4 1
13;161;141;5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15 2 5
14;123;141;0 7 9 10 6 14 13 3 15 2 5 8 4 1 11 17 12 16 0
15;147;141;15 2 5 8 4 1 11 17 12 16 0 7 9 10 6 14 13 3 15
sredni czas [ms];;;
134;;;
;;;
;;;
plik:;g/gr19.txt;;
wynik optymalny:;147;;
liczba wierzcholkow:;19;;
iteracja;czas [ms];wynik;sciezka
1;254;147;1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1
2;229;147;10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10
3;218;147;0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0
4;226;147;3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3
5;250;147;14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14
6;258;147;18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18
7;287;147;5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5
8;281;147;15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15
9;225;147;2 5 8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2
10;213;147;13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13
11;70;147;17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17
12;285;147;8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8
13;219;147;11 17 12 16 0 7 9 10 6 14 4 2 5 8 18 13 3 15 1 11
14;283;147;8 18 13 3 15 1 11 17 12 16 0 7 9 10 6 14 4 2 5 8
15;230;147;7 9 10 6 14 4 2 5 8 18 13 3 15 1 11 17 12 16 0 7
sredni czas [ms];;;
235;;;
;;;
;;;
plik:;g/gr20.txt;;
wynik optymalny:;148;;
liczba wierzcholkow:;20;;
iteracja;czas [ms];wynik;sciezka
1;287;148;11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11
2;156;148;12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12
3;350;148;5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5
4;314;148;6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6
5;348;148;5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5
6;306;148;6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6
7;356;148;5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5
8;354;148;8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8
9;290;148;18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18
10;257;148;2 5 8 14 4 19 13 3 15 1 11 18 17 12 16 0 7 9 10 6 2
11;86;148;17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17
12;220;148;13 3 15 1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13
13;289;148;18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18
14;312;148;1 11 18 17 12 16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1
15;223;148;16 0 7 9 10 6 2 5 8 14 4 19 13 3 15 1 11 18 17 12 16
sredni czas [ms];;;
276;;;
;;;
;;;
BADANIE;00:11:58;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr6.txt;;
wynik optymalny:;132;;
liczba wierzcholkow:;6;;
iteracja;czas [ms];wynik;sciezka
1;1;132;2 3 4 5 0 1 2
2;4;132;4 5 0 1 2 3 4
3;0;132;3 4 5 0 1 2 3
4;0;132;4 5 0 1 2 3 4
5;0;132;2 3 4 5 0 1 2
6;0;132;4 5 0 1 2 3 4
7;0;132;2 3 4 5 0 1 2
8;0;132;3 4 5 0 1 2 3
9;0;132;1 2 3 4 5 0 1
10;0;132;1 2 3 4 5 0 1
11;0;132;4 5 0 1 2 3 4
12;0;132;1 2 3 4 5 0 1
13;0;132;3 4 5 0 1 2 3
14;0;132;0 1 2 3 4 5 0
15;0;132;2 3 4 5 0 1 2
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr7.txt;;
wynik optymalny:;146;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;2;146;0 4 5 3 6 1 2 0
2;1;146;1 2 0 4 5 3 6 1
3;1;146;4 5 3 6 1 2 0 4
4;0;146;5 3 6 1 2 0 4 5
